stage,method,target_mode,seed,beta,H,omega_out,omega_in,s,gamma,N,n_steps,fr_every,target_ema_rate,score_clip,max_event_fraction,ess_window_steps,final_l2_f,final_l2_fp,int_l2_f,final_ess,n_die,n_clone,repl_fraction,n_fr_apply,cond_abserr_mean,cond_abserr_max
stage0_reproduce,abf,none,0,8.0,2.5,1.0,25.0,0.25,15.0,256,40000,10,0.005,3.0,0.08,4000,0.21098452433692522,1.8404553625426316,10.454069462125599,256.0,0.0,0.0,0.0,0.0,0.004455263993275688,0.016052666658247436
stage0_reproduce,abf,none,1,8.0,2.5,1.0,25.0,0.25,15.0,256,40000,10,0.005,3.0,0.08,4000,0.20774192376916226,1.8270178285319014,10.666543308835625,256.0,0.0,0.0,0.0,0.0,0.01707642409403331,0.061083215116594466
stage0_reproduce,abf,none,2,8.0,2.5,1.0,25.0,0.25,15.0,256,40000,10,0.005,3.0,0.08,4000,0.2098197262630626,1.8169434887011469,11.123992596632444,256.0,0.0,0.0,0.0,0.0,0.017772104471076154,0.05823293712391796
stage0_reproduce,abf,none,3,8.0,2.5,1.0,25.0,0.25,15.0,256,40000,10,0.005,3.0,0.08,4000,0.21387702875026976,1.8665620460533732,11.638552103297553,256.0,0.0,0.0,0.0,0.0,0.018928592740345477,0.07802626155216097
stage0_reproduce,abf,none,4,8.0,2.5,1.0,25.0,0.25,15.0,256,40000,10,0.005,3.0,0.08,4000,0.18474869456004442,1.7033235936572557,9.175158414032717,256.0,0.0,0.0,0.0,0.0,0.0038548365317734013,0.011466185726182757
stage0_reproduce,fr_estimated,estimated,0,8.0,2.5,1.0,25.0,0.25,15.0,256,40000,10,0.005,3.0,0.08,4000,0.10602896776019097,1.206613347226788,6.812111350151623,24.0,11961.0,5777.0,0.017322265625,4000.0,0.02336844638203843,0.09671252775064278
stage0_reproduce,fr_estimated,estimated,1,8.0,2.5,1.0,25.0,0.25,15.0,256,40000,10,0.005,3.0,0.08,4000,0.09057417942501687,1.0888655075140967,5.997323837115651,22.0,12069.0,5928.0,0.0175751953125,4000.0,0.01959950791606654,0.064832646256613
stage0_reproduce,fr_estimated,estimated,2,8.0,2.5,1.0,25.0,0.25,15.0,256,40000,10,0.005,3.0,0.08,4000,0.09792983134223018,1.0667589567403037,6.381808415395596,26.0,12456.0,5780.0,0.01780859375,4000.0,0.02958784123502901,0.13260980332194072
stage0_reproduce,fr_estimated,estimated,3,8.0,2.5,1.0,25.0,0.25,15.0,256,40000,10,0.005,3.0,0.08,4000,0.09535169939985151,1.0909627970849958,6.163445353918766,18.0,12120.0,5822.0,0.017521484375,4000.0,0.05220924818641763,0.2006634390973982
stage0_reproduce,fr_estimated,estimated,4,8.0,2.5,1.0,25.0,0.25,15.0,256,40000,10,0.005,3.0,0.08,4000,0.09420586463476778,1.1110957032452535,6.288365213962784,24.0,11847.0,5751.0,0.017185546875,4000.0,0.02104904781953712,0.07401633902377905
stage0_reproduce,fr_oracle,oracle,0,8.0,2.5,1.0,25.0,0.25,15.0,256,40000,10,0.005,3.0,0.08,4000,0.2687836878321821,2.227522647221389,11.837916076860845,26.0,4709.0,9134.0,0.0135185546875,4000.0,0.014545359555933316,0.034661583697906936
stage0_reproduce,fr_oracle,oracle,1,8.0,2.5,1.0,25.0,0.25,15.0,256,40000,10,0.005,3.0,0.08,4000,0.2644695308923376,2.213971171576328,11.776111209993704,29.0,4615.0,9225.0,0.013515625,4000.0,0.011191141651565841,0.03223275623355981
stage0_reproduce,fr_oracle,oracle,2,8.0,2.5,1.0,25.0,0.25,15.0,256,40000,10,0.005,3.0,0.08,4000,0.2734531923675044,2.244257485858275,12.225045179130177,25.0,4596.0,9341.0,0.013610351562500001,4000.0,0.0039414364769286446,0.01583228064600513
stage0_reproduce,fr_oracle,oracle,3,8.0,2.5,1.0,25.0,0.25,15.0,256,40000,10,0.005,3.0,0.08,4000,0.26180117202713277,2.208924110389493,11.43667065190397,23.0,4673.0,9714.0,0.0140498046875,4000.0,0.012110177401820455,0.03166514476252186
stage0_reproduce,fr_oracle,oracle,4,8.0,2.5,1.0,25.0,0.25,15.0,256,40000,10,0.005,3.0,0.08,4000,0.27679592798810754,2.247703183890854,12.448727013805442,25.0,4772.0,8983.0,0.0134326171875,4000.0,0.00564912104650335,0.022396076804104423
stage0_reproduce,fr_uniform,uniform,0,8.0,2.5,1.0,25.0,0.25,15.0,256,40000,10,0.005,3.0,0.08,4000,0.1037823071431004,1.208830726447509,6.572277252088291,22.0,11794.0,5904.0,0.017283203125,4000.0,0.015698819130061152,0.050199485661766075
stage0_reproduce,fr_uniform,uniform,1,8.0,2.5,1.0,25.0,0.25,15.0,256,40000,10,0.005,3.0,0.08,4000,0.10387874125617488,1.0944330545804335,6.4656023065875825,18.0,11652.0,5362.0,0.016615234375,4000.0,0.02061391684839086,0.04710071047999509
stage0_reproduce,fr_uniform,uniform,2,8.0,2.5,1.0,25.0,0.25,15.0,256,40000,10,0.005,3.0,0.08,4000,0.10248838472050846,1.1949119024314243,6.476716512329823,27.0,11859.0,5709.0,0.01715625,4000.0,0.026780434774556362,0.11358395172388762
stage0_reproduce,fr_uniform,uniform,3,8.0,2.5,1.0,25.0,0.25,15.0,256,40000,10,0.005,3.0,0.08,4000,0.09572813016317962,1.1039573976841912,5.963701945722797,20.0,11730.0,5667.0,0.016989257812500002,4000.0,0.01941299282490557,0.07306838403830368
stage0_reproduce,fr_uniform,uniform,4,8.0,2.5,1.0,25.0,0.25,15.0,256,40000,10,0.005,3.0,0.08,4000,0.10820702169706875,1.2160263982683366,6.393162571046506,23.0,11928.0,5753.0,0.0172666015625,4000.0,0.04787528962880937,0.13504421993537125
stage1_seeds,abf,none,0,8.0,2.5,1.0,25.0,0.25,15.0,256,40000,10,0.005,3.0,0.08,4000,0.21335700362235466,1.8661655225192386,10.502223367479171,256.0,0.0,0.0,0.0,0.0,0.01346024679952853,0.0495931626234732
stage1_seeds,abf,none,1,8.0,2.5,1.0,25.0,0.25,15.0,256,40000,10,0.005,3.0,0.08,4000,0.2131760724991455,1.8213227975508666,10.826753168945723,256.0,0.0,0.0,0.0,0.0,0.021192778437226893,0.05494328316491347
stage1_seeds,abf,none,10,8.0,2.5,1.0,25.0,0.25,15.0,256,40000,10,0.005,3.0,0.08,4000,0.174855965151581,1.6660258603094533,8.74019243815157,256.0,0.0,0.0,0.0,0.0,0.008053405289274543,0.03231219412328734
stage1_seeds,abf,none,11,8.0,2.5,1.0,25.0,0.25,15.0,256,40000,10,0.005,3.0,0.08,4000,0.20590353174186604,1.825211779721163,11.337516089106808,256.0,0.0,0.0,0.0,0.0,0.0062503545947125245,0.013370934315008035
stage1_seeds,abf,none,12,8.0,2.5,1.0,25.0,0.25,15.0,256,40000,10,0.005,3.0,0.08,4000,0.18844815907895135,1.7154616532986044,10.451397235287587,256.0,0.0,0.0,0.0,0.0,0.012908798798516526,0.05364145523059688
stage1_seeds,abf,none,13,8.0,2.5,1.0,25.0,0.25,15.0,256,40000,10,0.005,3.0,0.08,4000,0.20791786303726867,1.8036230322805555,10.048819405003536,256.0,0.0,0.0,0.0,0.0,0.010281511823006764,0.029866287959574883
stage1_seeds,abf,none,14,8.0,2.5,1.0,25.0,0.25,15.0,256,40000,10,0.005,3.0,0.08,4000,0.1981738283703872,1.7622782174075935,10.732582219494173,256.0,0.0,0.0,0.0,0.0,0.025614523504733606,0.10900209755506779
