stage,name,method,n_steps,n_replicas,a,n_pairs,n_wins,win_rate,median_gain_pct_F,mean_gain_pct_F,median_gain_pct_intF
difficulty_budget,fr_est_tuned,fr_estimated,50000,1024,1.5,5,5,1.0,35.48011460486871,43.40412369794289,5.540909104156651
difficulty_budget,fr_est_tuned,fr_estimated,100000,1024,1.5,5,5,1.0,47.41581705871251,47.220629957474046,22.940777441481742
difficulty_budget,fr_est_tuned,fr_estimated,150000,1024,1.5,5,5,1.0,53.92559311716167,53.32785702648046,25.61308188728986
difficulty_budget,fr_est_tuned,fr_estimated,250000,1024,1.5,5,5,1.0,54.35425954656087,55.4141845690232,33.46129354001532
difficulty_budget,fr_est_tuned,fr_estimated,400000,1024,1.5,5,5,1.0,56.929273963228525,56.787354613470896,42.7792934709793
difficulty_crowding,fr_est_tuned,fr_estimated,250000,1024,1.35,5,5,1.0,38.3478917840474,38.697257383247006,28.858194036408452
difficulty_crowding,fr_est_tuned,fr_estimated,250000,1024,1.5,5,5,1.0,54.73510589035704,56.125579078471354,34.76995541848737
difficulty_crowding,fr_est_tuned,fr_estimated,250000,1024,1.7,5,5,1.0,49.55542884723753,51.05542922779997,25.22668982608472
difficulty_replicas,fr_est_tuned,fr_estimated,250000,256,1.5,5,5,1.0,51.21491153754037,51.948793972714306,27.39314602671926
difficulty_replicas,fr_est_tuned,fr_estimated,250000,512,1.5,5,5,1.0,54.90031987106634,55.059461016001976,28.11319530760341
difficulty_replicas,fr_est_tuned,fr_estimated,250000,1024,1.5,5,5,1.0,58.77221791728258,59.37599997765828,38.420400433638285
difficulty_replicas,fr_est_tuned,fr_estimated,250000,2048,1.5,5,5,1.0,56.24017421276996,56.33241456866631,34.60387457217039
failure,sweep_fr_rate_0.03,fr_estimated,150000,1024,1.5,4,4,1.0,18.637994596697357,19.777541129503483,11.105561263811897
failure,sweep_fr_rate_0.05,fr_estimated,150000,1024,1.5,4,4,1.0,29.12096284292317,29.110030143921087,19.068612932774805
failure,sweep_fr_rate_0.1,fr_estimated,150000,1024,1.5,4,4,1.0,57.673435536169556,57.16956963298436,28.76145328257948
failure,sweep_fr_rate_0.2,fr_estimated,150000,1024,1.5,4,4,1.0,63.51348442843207,64.22601491328697,40.953037800991794
failure,sweep_fr_rate_0.5,fr_estimated,150000,1024,1.5,4,4,1.0,11.855334152073102,12.458538717813294,23.68877147609666
failure,sweep_fr_rate_1,fr_estimated,150000,1024,1.5,4,0,0.0,-37.795363282806264,-38.77259409687455,3.272563258496585
failure,sweep_fr_rate_2,fr_estimated,150000,1024,1.5,4,0,0.0,-68.01187968406592,-69.72630311743721,-4.034507987959946
main,fr_est_aggressive,fr_estimated,250000,1024,1.5,10,1,0.1,-13.135315174606717,-12.025351379152612,11.858056816991155
main,fr_est_gentle,fr_estimated,250000,1024,1.5,10,10,1.0,32.78939824263392,32.64297154589101,17.084075300064296
main,fr_est_strong,fr_estimated,250000,1024,1.5,10,10,1.0,58.88824701625005,59.84781134511098,40.483203734843215
main,fr_est_tuned,fr_estimated,250000,1024,1.5,10,10,1.0,55.01821735139221,56.63856713742956,30.574276825562922
main,fr_oracle,fr_oracle,250000,1024,1.5,10,10,1.0,52.674750512480884,52.57749025089379,25.7680893097983
main,fr_uniform,fr_uniform,250000,1024,1.5,10,10,1.0,54.588387214240555,56.08249282494239,31.285858841964078
pilot,sweep_fr_every_1,fr_estimated,150000,1024,1.5,3,3,1.0,53.2848535339519,53.191893976488096,27.601165289881227
pilot,sweep_fr_every_10,fr_estimated,150000,1024,1.5,3,3,1.0,51.779284307878726,50.58827093267203,22.151824889011476
pilot,sweep_fr_every_5,fr_estimated,150000,1024,1.5,3,3,1.0,54.611932068398104,51.49091094722946,26.31058031745548
pilot,sweep_fr_rate_0.03,fr_estimated,150000,1024,1.5,3,3,1.0,25.962883586875748,20.183775204720998,16.38313904908901
pilot,sweep_fr_rate_0.05,fr_estimated,150000,1024,1.5,3,3,1.0,23.541681583774817,23.436303643689126,11.327118319661189
pilot,sweep_fr_rate_0.1,fr_estimated,150000,1024,1.5,3,3,1.0,49.99909285822184,48.894223850000095,35.172974703300866
pilot,sweep_fr_rate_0.2,fr_estimated,150000,1024,1.5,3,3,1.0,64.34874991890534,63.96147393619134,30.773220648394123
pilot,sweep_fr_rate_0.5,fr_estimated,150000,1024,1.5,3,2,0.6666666666666666,14.623949741572202,8.627917203599045,19.32216115395998
pilot,sweep_fr_start_steps_10000,fr_estimated,150000,1024,1.5,3,3,1.0,60.760645593718976,60.63973203219896,41.76528820842179
pilot,sweep_fr_start_steps_20000,fr_estimated,150000,1024,1.5,3,3,1.0,58.269723688519896,57.76364020447195,33.892795130515076
