stage,name,method,n_steps,n_replicas,a,n_pairs,n_wins,win_rate,median_gain_pct_F,mean_gain_pct_F,median_gain_pct_intF
pilot,sweep_fr_start_steps_40000,fr_estimated,150000,1024,1.5,3,3,1.0,38.9701844808571,41.44114423936048,21.00119068814576
pilot,sweep_max_event_fraction_0.005,fr_estimated,150000,1024,1.5,3,3,1.0,52.64653596475868,52.4132875938327,19.377101373986758
pilot,sweep_max_event_fraction_0.02,fr_estimated,150000,1024,1.5,3,3,1.0,50.2646020580783,50.75862893877186,27.560494167549138
pilot,sweep_max_event_fraction_0.05,fr_estimated,150000,1024,1.5,3,3,1.0,54.90492626233348,54.51544750902599,31.516653813098102
pilot,sweep_target_ema_rate_0.001,fr_estimated,150000,1024,1.5,3,3,1.0,53.68782728404625,52.20301096241909,31.183336910859076
pilot,sweep_target_ema_rate_0.003,fr_estimated,150000,1024,1.5,3,3,1.0,54.26403862368363,52.47356458492781,29.47069125991107
pilot,sweep_target_ema_rate_0.005,fr_estimated,150000,1024,1.5,3,3,1.0,54.2062251570042,55.89895501898054,27.798809046250625
pilot,sweep_target_ema_rate_0.01,fr_estimated,150000,1024,1.5,3,3,1.0,59.419902690501125,56.332890635516826,26.939229479064565
pilot,sweep_target_ema_rate_0.02,fr_estimated,150000,1024,1.5,3,3,1.0,51.31682160949406,54.23460783984151,28.35205790559603
stage0_reproduce,fr_est_tuned,fr_estimated,250000,1024,1.5,1,1,1.0,59.81393238649565,59.81393238649565,40.32231112560492
