stage,name,method,n_steps,n_replicas,a,n_seeds,l2_f_median,l2_f_q25,l2_f_q75,l2_fp_median,l2_fp_q25,l2_fp_q75,integrated_l2_f_median,integrated_l2_f_q25,integrated_l2_f_q75,l2_f_transition_median,l2_f_transition_q25,l2_f_transition_q75,l2_fp_transition_median,l2_fp_transition_q25,l2_fp_transition_q75,final_ancestor_ess_median,final_ancestor_ess_q25,final_ancestor_ess_q75,total_replacement_events_median,total_replacement_events_q25,total_replacement_events_q75
difficulty_budget,abf,abf,50000,1024,1.5,5,0.10765882100906383,0.09888659578631252,0.11591684987739856,0.37245398981096905,0.36650249985063194,0.4029125008344125,27.767191271475937,26.131623585342183,28.68607916356899,0.04852578805602926,0.04379773843204059,0.05436410213656423,0.4328987500797212,0.41726230000276393,0.44186849117971094,nan,nan,nan,0.0,0.0,0.0
difficulty_budget,abf,abf,100000,1024,1.5,5,0.09147850092677252,0.09107078261791532,0.09222715030528857,0.34645905866505217,0.3390192278546095,0.3487589033951989,39.30618025372302,36.45408406479494,40.63437591500693,0.04378047613425232,0.04269077429391874,0.04677189627148812,0.4114187585529603,0.40100757935889003,0.42115877264899426,nan,nan,nan,0.0,0.0,0.0
difficulty_budget,abf,abf,150000,1024,1.5,5,0.08669630987630242,0.08355833263959667,0.09173505343973576,0.326200369199411,0.31479667381263676,0.3389638704523745,45.51989168967279,43.4079251707787,48.37345591312101,0.03998831598832818,0.03882296890137897,0.043444244530797,0.3940446136615993,0.38120861560893915,0.39844378296592964,nan,nan,nan,0.0,0.0,0.0
difficulty_budget,abf,abf,250000,1024,1.5,5,0.07917059030257106,0.07841542660750056,0.08613639843606859,0.31250345718818295,0.31093494369943514,0.3243773085477166,62.05189604079839,62.040535160218624,64.61318507669971,0.03814306925974187,0.036819446650864555,0.0398355952094241,0.3762070580268241,0.3756960807092273,0.38255980200749806,nan,nan,nan,0.0,0.0,0.0
difficulty_budget,abf,abf,400000,1024,1.5,5,0.08146655392618914,0.08140389351923737,0.08209495723954209,0.3148122359870458,0.3108629560597807,0.31523234074733497,91.95344623241067,89.26067530234685,94.26067545260372,0.03755317231466022,0.036042990565651925,0.03841841837525156,0.37812212976118953,0.37350078476308335,0.3825162831096083,nan,nan,nan,0.0,0.0,0.0
difficulty_budget,fr_est_tuned,fr_estimated,50000,1024,1.5,5,0.0636112904687004,0.0619622177004482,0.06554445414024221,0.3249425823516456,0.27895165166462016,0.3306518406374135,27.096609591569212,25.829323911792937,27.454866901329854,0.04323234728191596,0.03709026126501144,0.04484068510890104,0.3605912135182036,0.3540852705150958,0.3753074052867155,397.1878787878788,368.6976090014065,400.21984732824427,680.0,648.0,695.0
difficulty_budget,fr_est_tuned,fr_estimated,100000,1024,1.5,5,0.04764696419227699,0.046558750862327664,0.049462567981126394,0.26174430860392905,0.26123892134323895,0.2759013585515958,30.31694525298716,28.70654625777197,30.347642506740776,0.034156142104495545,0.03347894710089142,0.03629920125108046,0.32198493821395463,0.3111158151783257,0.3288287022895948,211.3212414349053,200.4925430210325,227.06279774794282,1794.0,1767.0,1809.0
difficulty_budget,fr_est_tuned,fr_estimated,150000,1024,1.5,5,0.03994481056481393,0.03858976321700136,0.04380103019578769,0.2615648466919135,0.25706057988987213,0.2639416012565785,35.81264446209833,33.860844556191246,36.2025210170214,0.030946754564601015,0.029747195498376153,0.03316688098881135,0.3212942338195875,0.3212651997102689,0.32439535494657806,131.46639919759278,130.19319592748946,147.23055321538894,2876.0,2825.0,2895.0
difficulty_budget,fr_est_tuned,fr_estimated,250000,1024,1.5,5,0.035793302104716755,0.03557111323871502,0.03674967556750213,0.2491023420078694,0.245958579765782,0.2537126594651007,42.81237029126123,39.81406621145554,44.069248458863896,0.03098518854526083,0.030837990817360612,0.031079363536150217,0.30471586975099774,0.2991545081283476,0.30795554923660323,88.59209192294693,83.73869988819678,89.3621953298108,4994.0,4916.0,5003.0
difficulty_budget,fr_est_tuned,fr_estimated,400000,1024,1.5,5,0.034174338873191726,0.03410213840616521,0.03690430562591847,0.2454243463948197,0.24062274358827138,0.24812843976082904,52.840654196753256,51.075589060577954,54.5634655794532,0.029856041152982998,0.029802344672464665,0.03020118110722184,0.3024097181565042,0.30054422200374015,0.30864667011737595,60.0352685216993,58.527349854878324,60.34622467771639,8147.0,8116.0,8203.0
