stage,name,method,n_steps,n_replicas,a,n_seeds,l2_f_median,l2_f_q25,l2_f_q75,l2_fp_median,l2_fp_q25,l2_fp_q75,integrated_l2_f_median,integrated_l2_f_q25,integrated_l2_f_q75,l2_f_transition_median,l2_f_transition_q25,l2_f_transition_q75,l2_fp_transition_median,l2_fp_transition_q25,l2_fp_transition_q75,final_ancestor_ess_median,final_ancestor_ess_q25,final_ancestor_ess_q75,total_replacement_events_median,total_replacement_events_q25,total_replacement_events_q75
difficulty_crowding,abf,abf,250000,1024,1.35,5,0.3648765892198591,0.3629054535504329,0.3695282566900208,1.2083942960104876,1.2077779507049504,1.2253677288374354,230.17340309998906,228.6740727421258,235.7061250825773,0.1699677159833423,0.167462957511015,0.17079263825607052,1.2429368767809734,1.2428365970750785,1.2431050515389337,nan,nan,nan,0.0,0.0,0.0
difficulty_crowding,abf,abf,250000,1024,1.5,5,0.08172905562266758,0.08037536031818572,0.08279242241741874,0.31718517704320826,0.309166636557405,0.31728389026867976,61.10134016668995,60.616340653618025,64.35463063336553,0.03841328344847917,0.03783039367699451,0.03959406622848015,0.37941715975417184,0.37869503825703743,0.3820488970331422,nan,nan,nan,0.0,0.0,0.0
difficulty_crowding,abf,abf,250000,1024,1.7,5,0.022841587629428863,0.022462266198173868,0.027171280662711187,0.14023012000885007,0.13286721259010098,0.1414729549310636,24.752980103976284,24.32637116480049,24.956314688801662,0.01211530215888071,0.01135995305265293,0.014727710991009805,0.14926355503657074,0.1346559125618216,0.15870595907040558,nan,nan,nan,0.0,0.0,0.0
difficulty_crowding,fr_est_tuned,fr_estimated,250000,1024,1.35,5,0.2246464836704655,0.22250906675653714,0.22600475292317915,0.9231265533894397,0.9178096493238279,0.9275568870571348,163.59529502744067,160.9662994193162,168.35819578399233,0.1353135223385638,0.13457525657358416,0.13786405385125403,0.9563244444403289,0.9558812627163715,0.9656066784523383,47.60628348315627,45.797344514325644,51.14505901863233,7669.0,7663.0,7675.0
difficulty_crowding,fr_est_tuned,fr_estimated,250000,1024,1.5,5,0.037386055090026404,0.03379867647344892,0.03747590233805289,0.24781584879479185,0.23842836812108897,0.2587074822209684,42.17328435451537,39.60921031766347,42.18090530056111,0.030786434327622215,0.02831508677554189,0.03239160961394204,0.30949117112050717,0.29144247601083134,0.31855209299569776,88.74204468517264,84.11487245307235,91.14881780250347,4934.0,4903.0,4942.0
difficulty_crowding,fr_est_tuned,fr_estimated,250000,1024,1.7,5,0.01153000608755609,0.011522340924147834,0.011960508159692162,0.12452981408012653,0.12110124703441474,0.12571415751884743,18.660662590236047,17.717643419713493,19.679430744677287,0.011595507462154046,0.011316046744620872,0.01297941214851836,0.12677600024284008,0.12260557766815156,0.128416438676594,114.92503288031565,111.10150455605002,120.24954128440368,4066.0,4041.0,4078.0
difficulty_replicas,abf,abf,250000,256,1.5,5,0.08510154910738403,0.0810157452977806,0.08645197624664097,0.32888196907754963,0.3166147605339368,0.345762473876552,65.25117394000874,64.24473942483735,66.06415209814817,0.04134188890640493,0.040323326835626,0.041921195152107994,0.39234650434162555,0.38059296705518825,0.4060273993397898,nan,nan,nan,0.0,0.0,0.0
difficulty_replicas,abf,abf,250000,512,1.5,5,0.08377288514166097,0.08360296153757477,0.08772740349904962,0.32007990098887756,0.30934617406606396,0.3331349781795998,67.34080648186159,64.90562833229964,69.9724134175178,0.0410793659937803,0.03706555340056118,0.043823315809335885,0.386423317958361,0.3701193888576658,0.3899227931072228,nan,nan,nan,0.0,0.0,0.0
difficulty_replicas,abf,abf,250000,1024,1.5,5,0.0832903868509475,0.08248103467302767,0.08514292973887554,0.32059180639140344,0.3192721242957528,0.3227840354203009,64.48290748898091,63.3937659292205,64.85199778106178,0.03970188823370628,0.03913798189003901,0.039929355373322914,0.38472798113560586,0.37856857170978075,0.3934577624819737,nan,nan,nan,0.0,0.0,0.0
difficulty_replicas,abf,abf,250000,2048,1.5,5,0.08495213184334063,0.08452276021967811,0.0870395063896451,0.3208945325927339,0.31845356132426483,0.3267489823519371,64.04679070238822,63.51289331032147,64.09406403854082,0.038176766234956264,0.03814213962849018,0.04019196384878394,0.3876365692130058,0.3840683879714917,0.3977274400962615,nan,nan,nan,0.0,0.0,0.0
difficulty_replicas,fr_est_tuned,fr_estimated,250000,256,1.5,5,0.03952360301204325,0.03837334536157368,0.04331941106585776,0.2574649023524783,0.25372978382986844,0.2719814002373366,47.967102442588526,44.824462680773955,52.912748322111426,0.031990259607007125,0.02840926859156827,0.03315815450534827,0.31949767663828155,0.31247941313387645,0.32452678467934803,20.924648786717754,16.566228513650152,21.291747888239115,1351.0,1348.0,1366.0
difficulty_replicas,fr_est_tuned,fr_estimated,250000,512,1.5,5,0.037704668231761655,0.036752427914324086,0.040358748566328435,0.2663291687510183,0.2552094423214565,0.26742833257033927,46.26593630091389,44.807645666453105,46.65858227361307,0.034813138916177835,0.03321348708281872,0.03523668296442771,0.31178822877571094,0.3054103206420456,0.32572634021744384,45.21283201103829,41.76927979604844,46.23350970017637,2563.0,2530.0,2565.0
difficulty_replicas,fr_est_tuned,fr_estimated,250000,1024,1.5,5,0.034338779186760954,0.033675360378226195,0.03572012594123221,0.24782128782899535,0.2451374019354132,0.24810390043412084,40.76549834832796,38.19833477430462,43.02732339300183,0.030773054947090227,0.030348368111593887,0.03191419491462114,0.3027110567000091,0.29904504468044296,0.30527157712571223,80.04396946564886,79.6548161652993,90.8802218755417,4921.0,4906.0,5071.0
difficulty_replicas,fr_est_tuned,fr_estimated,250000,2048,1.5,5,0.036987012622689316,0.03649880236671729,0.03803590467055277,0.24961090109243356,0.24675656079323927,0.2504002814304272,41.88411958023332,40.34418611899473,43.76084472937801,0.030697053605007855,0.030579837327999942,0.03159908344438881,0.30520576046952635,0.3050463667528961,0.3063114155575523,171.64445899492551,167.77216,172.03872026251025,9886.0,9632.0,9902.0
failure,abf,abf,150000,1024,1.5,4,0.0918558986998512,0.08962212564682534,0.09240193896642504,0.333047170387311,0.3278222935787908,0.3375633651811343,48.07643192052349,46.86481778134424,49.30050743775042,0.04234320599706384,0.041243500183626214,0.043178780485271136,0.40607130042064515,0.4033733903786417,0.4085395159987511,nan,nan,nan,0.0,0.0,0.0
failure,sweep_fr_rate_0.03,fr_estimated,150000,1024,1.5,4,0.07274007375146987,0.07052876467728823,0.07442018975457229,0.30432852916399833,0.2979577271559671,0.30819422301252575,43.79579715153682,43.00913101393409,45.066716407391695,0.03667495913222892,0.035824666517287086,0.03791206453991114,0.3747819698827914,0.3689670446918598,0.37757933570398405,336.58683182004546,323.56898362226195,342.6829468614614,938.5,916.25,956.5
failure,sweep_fr_rate_0.05,fr_estimated,150000,1024,1.5,4,0.06408627902808942,0.06304228253036238,0.0649230286445901,0.29234393738993825,0.287013882968036,0.297283856228865,39.9578193289953,39.196138741748726,40.84054321478355,0.03596726686501815,0.03495702276399096,0.03647466517302128,0.35615630035282364,0.34670994629765456,0.3663529831603238,242.96181117949823,230.56239785035595,255.60275209471845,1509.0,1495.0,1523.5
failure,sweep_fr_rate_0.1,fr_estimated,150000,1024,1.5,4,0.03909582271881063,0.03724361707162754,0.0405421334409032,0.25375673896183926,0.24620881960490207,0.2614542778592004,33.204466340835964,31.29354671301318,35.39973902420957,0.03155311015884615,0.03016045766457761,0.03251908174042313,0.3126118437991536,0.3100521050264256,0.3157703603431491,137.68144134009867,135.72778525712044,138.9683363929218,2857.5,2842.75,2895.5
failure,sweep_fr_rate_0.2,fr_estimated,150000,1024,1.5,4,0.03224645747881659,0.030838716543855935,0.0336299646019598,0.2575066348880728,0.2556901105644295,0.26022950332366396,28.191077970722425,27.293389002051526,29.950159786149108,0.03777216207197229,0.036069435283755474,0.039017384627093775,0.3036331658672319,0.2915132459284801,0.315295111925494,80.22126254851875,75.59909141376309,86.03454961299678,5024.5,4984.25,5069.25
failure,sweep_fr_rate_0.5,fr_estimated,150000,1024,1.5,4,0.07943359969129951,0.0775191977882744,0.08065693702132246,0.35612204971096517,0.3549033656829638,0.3598250452788646,36.63107520001178,36.00573995317304,37.60967781135228,0.05727674040195696,0.05641658220101372,0.05806621313556535,0.37001322826683947,0.3689125274122554,0.37146395303819746,44.90433800756479,41.151187929116546,47.3739571354363,9619.0,9543.5,9699.25
failure,sweep_fr_rate_1,fr_estimated,150000,1024,1.5,4,0.12306697596752439,0.12003184599099923,0.12794974310821147,0.49786385525178006,0.48978192981070995,0.5083733534754267,45.90894546003277,43.335826128634025,48.78252738796735,0.07914534125777094,0.07770709192035151,0.08072506162790204,0.4599554014493597,0.45346552489717495,0.4777640468946618,25.657820241596262,23.81182782341422,27.579289004109324,15301.0,15288.75,15335.0
failure,sweep_fr_rate_2,fr_estimated,150000,1024,1.5,4,0.15314720278252014,0.1520569408721283,0.1538387331855566,0.6188781922150081,0.6155427245461819,0.6222731806277885,49.05641370163285,48.11243068712894,50.410356659459424,0.09307498125541375,0.09120900402176699,0.09492494255967543,0.5202545440947367,0.5171122810002561,0.525322552203947,20.243043247086533,19.58442288979663,21.2897585722858,24613.5,24420.25,24668.5
main,abf,abf,250000,1024,1.5,10,0.08353549408021142,0.08170764881725973,0.08535865694674671,0.322035135948032,0.31735234360722686,0.3240982994078788,62.58533898172682,61.74571306570944,65.55690315468358,0.038865089362136354,0.0375690258860702,0.03966331116554373,0.384878887794717,0.38006517836594483,0.39206857288513985,nan,nan,nan,0.0,0.0,0.0
main,fr_est_aggressive,fr_estimated,250000,1024,1.5,10,0.09349853271081798,0.09190353003223442,0.09513385848046496,0.388259746733848,0.384250396528218,0.392756485589006,55.8637468338413,54.67527072583507,56.29223272702151,0.06420893544003567,0.06385331370645464,0.06565371076885665,0.41670457141266204,0.4123163997897627,0.4210764691362442,22.30361945736957,20.51224785141789,24.951671479477945,17551.5,17433.75,17639.75
main,fr_est_gentle,fr_estimated,250000,1024,1.5,10,0.056191363791110054,0.05457652376980008,0.0577383720567736,0.2755768597261402,0.26936987076776503,0.28080590890000945,53.408459059874716,49.43330403676274,55.7797971996273,0.03276004051293428,0.03110945082432444,0.0335633999612229,0.3290799337716067,0.32325899623387927,0.3389293692581755,157.12311344168282,146.4245473605402,160.0522926444884,2671.5,2649.75,2682.5
main,fr_est_strong,fr_estimated,250000,1024,1.5,10,0.03293430122222771,0.03247236580013331,0.03447268412017651,0.2590029633488561,0.25336468310499305,0.2630438176695738,37.71581931022412,35.300436108119115,39.050995003241226,0.037273087752524484,0.036213996060098015,0.03818483998886129,0.305874411900142,0.3025686633384153,0.3091867962625934,44.9115172120697,42.13390722269427,49.515847432615516,8924.5,8794.25,8986.75
main,fr_est_tuned,fr_estimated,250000,1024,1.5,10,0.03610927544218614,0.03459590495507683,0.03753708024646882,0.25128868613086675,0.2447346168296159,0.25726992542017646,44.10244534202805,42.686428798093274,45.09355050026442,0.030716034675180713,0.0287874920093996,0.03148675097065936,0.309826973003052,0.30102441972928806,0.31570940982071893,86.46047546785422,84.17952284317973,92.65818502788619,5013.0,4945.0,5042.75
main,fr_oracle,fr_oracle,250000,1024,1.5,10,0.038678267067501756,0.037634469072700155,0.04032722814171864,0.24747744851318906,0.24579808885267956,0.2536407751594044,45.34464219096549,43.664420546919054,48.067113555364514,0.029086079585230726,0.028108092982879813,0.03072997779992703,0.3124227481728514,0.2938391629465641,0.3156807366259003,99.97567593962748,96.70080777778163,101.57669916898504,4078.5,4026.5,4126.0
main,fr_uniform,fr_uniform,250000,1024,1.5,10,0.03718327642003545,0.03350074542859559,0.039736293327146725,0.2524697055310896,0.24603210542936965,0.25977130907941287,44.58189697420258,39.72470107678568,45.4788517475872,0.031206742974369095,0.030194791023080952,0.032590101730931666,0.31011745839327903,0.30110026345743435,0.31790422077243674,90.20196093741814,86.35628075141153,92.73687389721661,4998.0,4937.25,5049.5
pilot,abf,abf,150000,1024,1.5,3,0.08742311393704419,0.08333387708874604,0.09025733677855294,0.33745262780133656,0.3213063263426674,0.341306287008487,47.497104210329645,46.07232004261366,49.81759269705759,0.042521300981722535,0.03967510885008388,0.04369294905719937,0.4099590292656501,0.38431844907200363,0.41683066740263247,nan,nan,nan,0.0,0.0,0.0
pilot,sweep_fr_every_1,fr_estimated,150000,1024,1.5,3,0.039019729186772704,0.038019489470795406,0.04214971467289963,0.26184970894301696,0.2536345011544454,0.2648504385141843,33.45045283824442,33.00529948057422,35.59890802776042,0.032628842750920206,0.030377857759020806,0.03409173205981829,0.3105063479677825,0.2968624758792969,0.3143406116722309,152.94282380396731,143.6878221583939,153.5046178966942,2807.0,2804.5,2815.0
pilot,sweep_fr_every_10,fr_estimated,150000,1024,1.5,3,0.0448721120423044,0.04140236086537938,0.04488076417002797,0.2713972021176683,0.2571160167230388,0.2730609465687457,38.25552855669691,36.93137980009529,39.42203664807981,0.03413627882266395,0.03166707427762326,0.0350539621683293,0.30263422953025537,0.29319635539928446,0.31509055879277237,141.20333961755992,135.05802584517042,143.23785711828398,2893.0,2854.0,2901.0
pilot,sweep_fr_every_5,fr_estimated,150000,1024,1.5,3,0.04127992395821632,0.04047979314994183,0.04274756863002462,0.24838049861801148,0.24771764070098443,0.24864643864744834,35.63124268501456,35.31579157180995,36.599171220434314,0.03200559370068367,0.031152775956016364,0.0321666150775199,0.3035613996435571,0.30113664780038885,0.30437268738274104,132.22900378310214,131.91369867869966,138.75068920105508,2837.0,2807.5,2840.0
pilot,sweep_fr_rate_0.03,fr_estimated,150000,1024,1.5,3,0.06892230636669805,0.06636869767675735,0.07107847159874317,0.29198546693068167,0.28737516356865167,0.29634241161895153,41.986099907839055,40.85084374554984,43.032478823298334,0.03579566918364581,0.03474631229354776,0.0366080706652841,0.3564478749692084,0.34423978557697094,0.35651639959611237,362.57814661134165,352.28972562139165,371.66234854169113,906.0,902.5,908.0
pilot,sweep_fr_rate_0.05,fr_estimated,150000,1024,1.5,3,0.06684224282336458,0.06548928705774551,0.06707286949860189,0.30380185073880833,0.3001561857504481,0.30384405096633804,41.994595236342114,39.88884343373374,42.055823127177476,0.03613715751658637,0.036000370698545,0.036925178826895125,0.34563847679738,0.3451638455237336,0.3490491277502256,232.70661340434975,226.63685739632717,236.32767741155703,1542.0,1520.5,1548.5
pilot,sweep_fr_rate_0.1,fr_estimated,150000,1024,1.5,3,0.04371235002011238,0.04337932403274887,0.044470853523825536,0.27027094406352964,0.2641558152066675,0.270561394769114,33.799567078226175,31.63823836473767,33.904595981963034,0.034773513325557705,0.034509254645810485,0.03523479187748199,0.32880409209335476,0.3208235284300336,0.3291842526304143,147.35469364811692,138.56447553692976,150.93758849809325,2807.0,2801.5,2880.0
pilot,sweep_fr_rate_0.2,fr_estimated,150000,1024,1.5,3,0.031167432978375945,0.030870295871857995,0.03135510258819764,0.25840231940236513,0.2579582124509196,0.26113499314165467,30.908051146044492,29.982676174410393,35.2123259424195,0.036487273937170814,0.036389764581232914,0.03654880872462238,0.2965570003530532,0.2899779256000087,0.3037865135503193,68.99434136070536,67.59616057934258,77.92006284533528,5051.0,5014.5,5084.5
pilot,sweep_fr_rate_0.5,fr_estimated,150000,1024,1.5,3,0.07943260404724196,0.0770355028698077,0.08069085338971115,0.3655967630227308,0.36134646918017405,0.36619220999046037,36.29662902761538,36.15868168703027,39.1802530712437,0.058427657649723116,0.057612913974444735,0.05862950754199582,0.37071044458418534,0.36815443401794073,0.3781950925633156,37.54837785576166,36.51419028133552,41.004853785411356,9631.0,9608.5,9694.0
pilot,sweep_fr_start_steps_10000,fr_estimated,150000,1024,1.5,3,0.03492422148782462,0.032660641229365614,0.03572637424473751,0.25089219032665455,0.2464166257127027,0.25476173982072847,28.74500019603449,27.34473202976654,29.553730753535532,0.03251690218937661,0.03156424707685908,0.03272183421119222,0.31622814279882866,0.3050777688018733,0.31764562079591346,125.0985445001193,121.83104520347439,125.44370603124966,3247.0,3241.0,3327.5
pilot,sweep_fr_start_steps_20000,fr_estimated,150000,1024,1.5,3,0.037039896735497735,0.0350544520349375,0.03827325759068895,0.2549643506488506,0.24860068344106795,0.2601354179537899,34.447205206665494,32.92310659703043,35.56096835914795,0.03062072485883139,0.029913202516191645,0.03107258974942448,0.3118967591389391,0.3001499819630187,0.32100411068605283,144.59128516271375,138.49362237933667,146.55739895529456,2845.0,2840.5,2846.0
pilot,sweep_fr_start_steps_40000,fr_estimated,150000,1024,1.5,3,0.04836285774755383,0.04689619934316711,0.05296366553880982,0.26922684328168534,0.2610132827172137,0.27588205025513296,39.89760758580465,37.584314657028386,39.924963718853874,0.03352167684393719,0.032022741834308546,0.0356219665332667,0.3308316698679602,0.32364296679988735,0.33420833668670447,176.23126050420169,167.07466639667916,177.4625968506012,2264.0,2258.5,2271.5
pilot,sweep_max_event_fraction_0.005,fr_estimated,150000,1024,1.5,3,0.041397872816666265,0.040714141226989964,0.04146323399418486,0.26268519591374295,0.2618416527345079,0.265429979496919,37.81020794965727,37.31837038708419,38.0518750637216,0.032355915386476135,0.032117689609543976,0.03359141202521551,0.32399584580440466,0.31776622623991374,0.32840552944169427,145.35292486831162,138.85772979088392,145.9010434397424,2842.0,2797.0,2855.0
pilot,sweep_max_event_fraction_0.02,fr_estimated,150000,1024,1.5,3,0.04291946036167185,0.04116604876645141,0.044139099251026485,0.263402660115226,0.2580997503207518,0.2660344672036693,34.406667574687006,33.85928302268655,35.28680763902469,0.03496212827840357,0.032974483604156835,0.0351284054908069,0.32237831939654815,0.30974081132958153,0.329573869608892,149.24224309706804,138.23286627068885,157.6306212318779,2781.0,2764.5,2818.5
pilot,sweep_max_event_fraction_0.05,fr_estimated,150000,1024,1.5,3,0.0394235176936743,0.0382112655572404,0.04016235481616194,0.2522064009203254,0.24959263227372475,0.25357772070680534,32.567836549131364,32.54772142712248,33.149443207294055,0.03133208660043845,0.03035136603907001,0.03168475169948465,0.31025635630883447,0.30751197208953895,0.3132417273228376,157.82299819385912,148.98474154547273,160.32267922115318,2826.0,2797.0,2845.0
pilot,sweep_target_ema_rate_0.001,fr_estimated,150000,1024,1.5,3,0.042462813788377615,0.04024345697001383,0.04278776883179783,0.2652097950472324,0.25544698931889437,0.26848145166486764,34.659654116854355,32.105897148149594,35.269670893121415,0.03419292011813015,0.03206776837322288,0.03465022288562401,0.31631947603064103,0.3082048218375418,0.32463605857709044,132.329126703685,130.46282187526657,146.0378113713428,2890.0,2793.0,2965.5
pilot,sweep_target_ema_rate_0.003,fr_estimated,150000,1024,1.5,3,0.0401030342030621,0.04004341791364084,0.04135414633537064,0.2576277082097288,0.2514081596377222,0.27230648583557904,34.04164248667715,32.765620454362846,36.25605586864141,0.03166819882994894,0.031052147821782887,0.03424258798963282,0.31415382575466927,0.3038774103103906,0.3286495481956775,137.71683740478068,131.49736732843573,144.86421748464608,2781.0,2774.5,2803.0
pilot,sweep_target_ema_rate_0.005,fr_estimated,150000,1024,1.5,3,0.03935712429490046,0.036827896097927276,0.03969573412598308,0.24926064736053982,0.2442580061440488,0.2526129343193279,34.29347490840144,33.17957781081623,35.50527735996896,0.031222425696198822,0.030887294704646764,0.03162658964956493,0.3039257906394538,0.2983255596862282,0.305838185008233,140.37161981258367,133.45976597677216,143.18608838025452,2866.0,2826.0,2872.5
pilot,sweep_target_ema_rate_0.01,fr_estimated,150000,1024,1.5,3,0.037706327371459035,0.03659135603905282,0.038631306457792516,0.2601148384611175,0.2579620651150568,0.2610108456125141,35.68091380353001,33.295656985954636,36.88669882561729,0.03509314990210821,0.033289307042112734,0.035368912581051716,0.294708768498125,0.2943028361607156,0.3057814662761782,138.95785846806254,137.04181583196942,142.72396974814137,2869.0,2852.5,2880.5
pilot,sweep_target_ema_rate_0.02,fr_estimated,150000,1024,1.5,3,0.038728829328397,0.03673560924856083,0.04202437968236791,0.2572461232425573,0.25539344717993895,0.2695412615309878,33.40731255282339,33.26950051967953,33.71900513697955,0.03356551191173036,0.032775953108750706,0.03509736504421522,0.31173003942519945,0.30500083012771884,0.3176671164833753,144.07474580928826,129.9825541601702,150.85396941697127,2832.0,2766.0,2882.5
stage0_reproduce,abf,abf,250000,1024,1.5,1,0.09032970005710847,0.09032970005710847,0.09032970005710847,0.3339400788559308,0.3339400788559308,0.3339400788559308,66.96255189790548,66.96255189790548,66.96255189790548,0.04122893619596207,0.04122893619596207,0.04122893619596207,0.40049210422798953,0.40049210422798953,0.40049210422798953,nan,nan,nan,0.0,0.0,0.0
stage0_reproduce,fr_est_tuned,fr_estimated,250000,1024,1.5,1,0.03629995434002529,0.03629995434002529,0.03629995434002529,0.24762139785298778,0.24762139785298778,0.24762139785298778,39.96170338398737,39.96170338398737,39.96170338398737,0.031077001461522206,0.031077001461522206,0.031077001461522206,0.2897012163290604,0.2897012163290604,0.2897012163290604,87.23594009983361,87.23594009983361,87.23594009983361,4959.0,4959.0,4959.0
